STORE_NO,COST_CENTER_NAME,POS_TERM_NO,STATUS_CODE,DAD,MAX_TRAN_DT,TRAN_NO_LAST
1192,FLINT-WEST,12695,1,'01-01-17,1-Aug-18,77308
1192,FLINT-WEST,13036,1,'01-01-17,1-Aug-18,95504
1193,HENDERSON,12676,1,'01-06-22,1-Aug-18,8410
1193,HENDERSON,15378,1,'01-06-22,1-Aug-18,88214
1194,ROCHESTER,12749,1,'01-01-08,1-Aug-18,58113
1194,ROCHESTER,13039,1,'01-01-08,1-Aug-18,81144
1194,ROCHESTER,15238,1,'01-01-08,1-Aug-18,29958
1195,DEARBORN,10422,1,'01-01-08,1-Aug-18,62004
1195,DEARBORN,12840,1,'01-01-08,1-Aug-18,25820
1197,NOVI,12772,1,'01-01-08,1-Aug-18,49098
1197,NOVI,13045,1,'01-01-08,1-Aug-18,19273
1197,NOVI,14337,1,'01-01-08,10-Nov-17,56606
1198,FREMONT,12852,1,'01-01-19,1-Aug-18,22087
1199,SANDUSKY,10710,1,'01-01-19,1-Aug-18,65336
1199,SANDUSKY,13145,1,'01-01-19,1-Aug-18,94027
1201,CINCINNATI-MONTGOMERY,20462,2,'01-06-21,1-Aug-18,39188
1201,CINCINNATI-MONTGOMERY,20648,2,'01-06-21,1-Aug-18,12585
1202,WOOSTER,10320,1,'01-01-74,1-Aug-18,85696
1202,WOOSTER,15312,1,'01-01-74,1-Aug-18,14771
1204,ALLEN PARK,20487,4,'01-01-08,1-Aug-18,56635
1204,ALLEN PARK,20604,4,'01-01-08,1-Aug-18,19302
1205,BOARDMAN,13882,1,'01-01-06,1-Aug-18,96970
1205,BOARDMAN,13918,1,'01-01-06,1-Aug-18,36374
1206,OWENSBORO,11097,1,'01-06-22,1-Aug-18,92216
1206,OWENSBORO,13298,1,'01-06-22,1-Aug-18,14386
1207,GREENVILLE,11208,1,'01-06-21,1-Aug-18,70025
1207,GREENVILLE,13449,1,'01-06-21,1-Aug-18,95327
1208,LOUISVILLE-ST MATTHEWS,11076,1,'01-06-13,1-Aug-18,47883
1208,LOUISVILLE-ST MATTHEWS,13801,1,'01-06-13,1-Aug-18,13967
1209,WASHINGTON,11093,1,'01-06-22,1-Aug-18,86837
1209,WASHINGTON,15409,1,'01-06-22,1-Aug-18,21622
1211,VINCENNES,11090,1,'01-06-22,1-Aug-18,17945
1211,VINCENNES,15410,1,'01-06-22,1-Aug-18,70890
