CREDIT_HIERARCHY,4,010121,010121013,010121013703733,20160824,,NEW JERSEY COASTAL,013
CREDIT_HIERARCHY,4,010121,010121013,010121013703738,20160824,,NEW JERSEY COASTAL,013
CREDIT_HIERARCHY,4,010121,010121013,010121013703739,20160824,,NEW JERSEY COASTAL,013
CREDIT_HIERARCHY,4,010121,010121013,010121013703740,20160824,,NEW JERSEY COASTAL,013
CREDIT_HIERARCHY,4,010121,010121013,010121013703756,20160824,,NEW JERSEY COASTAL,013
CREDIT_HIERARCHY,4,010121,010121013,010121013703760,20160824,,NEW JERSEY COASTAL,013
CREDIT_HIERARCHY,4,010121,010121013,010121013703769,20160824,,NEW JERSEY COASTAL,013
CREDIT_HIERARCHY,4,010121,010121013,010121013703795,20160824,,NEW JERSEY COASTAL,013
CREDIT_HIERARCHY,4,010121,010121013,010121013703828,20160824,,NEW JERSEY COASTAL,013
CREDIT_HIERARCHY,4,010121,010121013,010121013703829,20160824,,NEW JERSEY COASTAL,013
CREDIT_HIERARCHY,4,010121,010121013,010121013705015,20160824,,NEW JERSEY COASTAL,013
CREDIT_HIERARCHY,4,010121,010121013,010121013705026,20160824,,NEW JERSEY COASTAL,013
CREDIT_HIERARCHY,4,010121,010121013,010121013705035,20160824,,NEW JERSEY COASTAL,013
CREDIT_HIERARCHY,4,010121,010121013,010121013705064,20160824,,NEW JERSEY COASTAL,013
CREDIT_HIERARCHY,4,010121,010121013,010121013705153,20160824,,NEW JERSEY COASTAL,013
CREDIT_HIERARCHY,4,010121,010121013,010121013705157,20160824,,NEW JERSEY COASTAL,013
CREDIT_HIERARCHY,4,010121,010121013,010121013705204,20160824,,NEW JERSEY COASTAL,013
CREDIT_HIERARCHY,4,010121,010121013,010121013705259,20160824,,NEW JERSEY COASTAL,013
CREDIT_HIERARCHY,4,010121,010121013,010121013705309,20160824,,NEW JERSEY COASTAL,013
CREDIT_HIERARCHY,4,010121,010121013,010121013705392,20160824,,NEW JERSEY COASTAL,013
CREDIT_HIERARCHY,4,010121,010121013,010121013705424,20160824,,NEW JERSEY COASTAL,013
CREDIT_HIERARCHY,5,010121013,010121013701883,,20160824,,SOMERS POINT
CREDIT_HIERARCHY,5,010121013,010121013701886,,20160824,,LANOKA HARBOR-FORKED RVR/LACEY
CREDIT_HIERARCHY,5,010121013,010121013703468,,20160824,,POINT PLEASANT
CREDIT_HIERARCHY,5,010121013,010121013703733,,20160824,,VINELAND
CREDIT_HIERARCHY,5,010121013,010121013703738,,20160824,,NORTHFIELD
CREDIT_HIERARCHY,5,010121013,010121013703739,,20160824,,ATLANTIC CITY
CREDIT_HIERARCHY,5,010121013,010121013703740,,20160824,,02/09 MAB-WILDWOOD
CREDIT_HIERARCHY,5,010121013,010121013703756,,20160824,,05/09 MAB-SHIP BOTTOM
CREDIT_HIERARCHY,5,010121013,010121013703760,,20160824,,OCEAN CITY
CREDIT_HIERARCHY,5,010121013,010121013703769,,20160824,,TOMS RIVER
CREDIT_HIERARCHY,5,010121013,010121013703795,,20160824,,CAPE MAY COURT HOUSE
CREDIT_HIERARCHY,5,010121013,010121013703828,,20160824,,06/08 DUR-HOWELL
CREDIT_HIERARCHY,5,010121013,010121013703829,,20160824,,09/08 DUR-ATLANTIC CITY
CREDIT_HIERARCHY,5,010121013,010121013705015,,20160824,,OCEAN CITY
CREDIT_HIERARCHY,5,010121013,010121013705026,,20160824,,TOMS RIVER
CREDIT_HIERARCHY,5,010121013,010121013705035,,20160824,,BRICK
CREDIT_HIERARCHY,5,010121013,010121013705064,,20160824,,WILDWOOD
CREDIT_HIERARCHY,5,010121013,010121013705153,,20160824,,MANAHAWKIN
CREDIT_HIERARCHY,5,010121013,010121013705157,,20160824,,ABSECON
CREDIT_HIERARCHY,5,010121013,010121013705204,,20160824,,HOWELL
CREDIT_HIERARCHY,5,010121013,010121013705259,,20160824,,VINELAND
CREDIT_HIERARCHY,5,010121013,010121013705309,,20160824,,WALL-SEA GIRT
CREDIT_HIERARCHY,5,010121013,010121013705392,,20160824,,FREEHOLD
CREDIT_HIERARCHY,5,010121013,010121013705424,,20160824,,EGG HARBOR TWP
CREDIT_HIERARCHY,4,010121,010121016,010121016703309,20160824,,DEL MAR,016
CREDIT_HIERARCHY,4,010121,010121016,010121016703356,20160824,,DEL MAR,016
CREDIT_HIERARCHY,4,010121,010121016,010121016703491,20160824,,DEL MAR,016
CREDIT_HIERARCHY,4,010121,010121016,010121016703690,20160824,,DEL MAR,016
CREDIT_HIERARCHY,4,010121,010121016,010121016703692,20160824,,DEL MAR,016
